标签,训练集数量,训练集占比(%),测试集数量,测试集占比(%)
com.qiyi.video,1158,11.15,289,11.12
com.tyyd.video,1146,11.03,287,11.05
com.kugou.android,779,7.5,195,7.51
com.cmcc.cmvideo,558,5.37,140,5.39
com.huaxiaozhu.rider,514,4.95,129,4.97
com.achievo.vipshop,460,4.43,115,4.43
cn.wps.moffice_eng,458,4.41,115,4.43
com.mogujie,348,3.35,87,3.35
com.quark.browser,346,3.33,87,3.35
com.shuqi.controller,345,3.32,86,3.31
com.UCMobile,330,3.18,83,3.19
air.tv.douyu.android,329,3.17,82,3.16
com.cctv.yangshipin.app.androidp,277,2.67,69,2.66
com.ximalaya.ting.android,254,2.44,63,2.42
com.lianjia.beike,200,1.92,50,1.92
com.tencent.tmgp.yys.zqb,171,1.65,43,1.66
com.tencent.tmgp.pubgmhd,166,1.6,41,1.58
com.jingdong.app.mall,157,1.51,39,1.5
com.mt.mtxx.mtxx,150,1.44,38,1.46
com.zhihu.android,142,1.37,36,1.39
com.ss.android.article.video,127,1.22,32,1.23
com.ss.android.article.lite,122,1.17,30,1.15
com.autonavi.minimap,120,1.15,30,1.15
com.hexin.plat.android,120,1.15,30,1.15
com.qidian.QDReader,117,1.13,29,1.12
com.ifeng.news2,113,1.09,28,1.08
com.wudaokou.hippo,110,1.06,27,1.04
com.xunmeng.pinduoduo,110,1.06,28,1.08
cn.egame.terminal.cloud5g,97,0.93,24,0.92
com.dp.android.elong,92,0.89,23,0.89
com.netease.cloudmusic,89,0.86,22,0.85
com.xingin.xhs,87,0.84,22,0.85
com.baidu.homework,84,0.81,21,0.81
com.tencent.qqmusic,84,0.81,21,0.81
com.sankuai.meituan,74,0.71,18,0.69
me.ele,74,0.71,18,0.69
tv.danmaku.bili,72,0.69,18,0.69
com.ss.android.article.news,70,0.67,17,0.65
com.dianping.v1,66,0.64,17,0.65
com.tencent.tmgp.tstl,66,0.64,17,0.65
com.tencent.news,54,0.52,14,0.54
com.qq.ac.android,53,0.51,13,0.5
com.youku.phone,38,0.37,9,0.35
com.alibaba.aliyun,35,0.34,9,0.35
com.tencent.mm,28,0.27,7,0.27
